timestamp_s,frame_idx,count,avg_speed,anomaly_count,predicted_count
1.227799892425537,0,13,0.0,0,13.0
1.547116756439209,1,12,2.5680283004172164,0,12.0
1.709449052810669,2,12,1.6028550970920128,0,0.0
1.8535549640655518,3,12,1.1176763550348574,0,0.4205425319080671
2.0275418758392334,4,14,3.4441320647160443,0,3.288244282436862
2.216521978378296,5,14,2.5726571780073195,0,16.510535100408575
2.3729538917541504,6,15,5.9255540672662,1,20.957155945558323
2.520960807800293,7,14,3.895779490322873,0,25.409463217287723
2.6568667888641357,8,13,2.7467876381954364,0,24.134639270229698
2.7908709049224854,9,13,0.9035182006661887,0,20.853210398080655
2.929154872894287,10,11,1.3808447619489024,0,18.734708271845584
3.161313772201538,11,12,2.78161451054423,0,14.09333707521515
3.2995729446411133,12,14,5.485854276612395,1,12.343165642628207
3.4376909732818604,13,12,3.2336601402253105,0,13.849707642349435
3.5758628845214844,14,11,2.8716645137843426,0,12.57455151455644
3.7123920917510986,15,12,0.9522694328487686,0,10.715313624135808
3.8471717834472656,16,13,7.609386421953658,2,10.322565309402194
3.986772060394287,17,12,7.07230681529078,1,10.869673071685789
4.12921404838562,18,11,3.3658107362576475,0,10.559627453400262
4.265954971313477,19,12,3.272919733489903,0,9.667934535075595
4.403997898101807,20,13,5.699708044701565,1,9.632318782282386
4.589188814163208,21,13,1.1843314799220885,0,10.190555049767273
4.72786283493042,22,13,3.305279364674885,0,10.686136872957524
4.872895956039429,23,12,2.2287155372874774,0,11.088212286340204
5.012253999710083,24,13,3.341804405641183,0,10.940287427727382
5.1841490268707275,25,14,3.1462678990860034,0,11.273539726631777
5.329087972640991,26,14,3.6219423526272236,0,11.9944690961875
5.473307847976685,27,16,1.266290712988477,0,12.589910410881494
5.665957927703857,28,15,2.849735729150829,0,13.852582203318875
5.81309700012207,29,16,3.7914746229801803,0,14.549964695818991
5.958465814590454,30,14,5.685049240898534,0,15.473238986376863
6.1485888957977295,31,14,4.365479423716567,0,15.598289989776383
6.285800933837891,32,16,4.767621328089155,1,15.67650989213299
6.4236979484558105,33,16,1.101133819921819,0,16.335446641950323
